2026-06-01 14:12:28,267 | INFO | response | RESPONSE | http://10.0.150.35:9091/api/v1/paysyslabs/directposting | status=403 | elapsed_ms=31 | body={"raw": ""}
2026-06-01 14:21:50,060 | INFO | response | RESPONSE | http://10.0.150.35:9091/api/v1/paysyslabs/titlefetch | status=403 | elapsed_ms=40 | body={"raw": ""}
2026-06-01 14:21:50,065 | INFO | response | RESPONSE | http://10.0.150.35:9091/api/v1/paysyslabs/directposting | status=403 | elapsed_ms=46 | body={"raw": ""}
2026-06-01 14:21:50,175 | INFO | response | RESPONSE | http://10.0.150.35:9091/authenticate | status=200 | elapsed_ms=158 | body={"token": "eyJhbGciOiJIUzUxMiJ9.eyJzdWIiOiJkaWJ8dGVzdCIsImV4cCI6MTc4MDM5MjEwOSwiaWF0IjoxNzgwMzA1NzA5fQ.-oIItUAWOegn_5-QcI6ax5GzgW8VtDMg2mMm_IyZCMf6TJP-9Sge3gbwUhXroTKXBMKmUzWtA0vJt1qGWm-Jtg", "expiry": "1780392109"}
2026-06-01 14:24:36,875 | INFO | response | RESPONSE | http://10.0.150.35:9091/authenticate | status=200 | elapsed_ms=154 | body={"token": "eyJhbGciOiJIUzUxMiJ9.eyJzdWIiOiJkaWJ8dGVzdCIsImV4cCI6MTc4MDM5MjI3NiwiaWF0IjoxNzgwMzA1ODc2fQ.w-FnZ9zynqoLAzhyfifZl1eztn50GHFyqePFSbkYlP9snIuL-rT4ZcaCL92uD9FTMal4cik1VlUiuDz_BYAqHA", "expiry": "1780392276"}
2026-06-01 14:24:36,929 | INFO | response | RESPONSE | http://10.0.150.35:9091/api/v1/paysyslabs/directposting | status=400 | elapsed_ms=40 | body={"timestamp": "2026-06-01T09:24:36.172+00:00", "status": 400, "error": "Bad Request", "path": "/api/v1/paysyslabs/directposting"}
2026-06-01 14:24:37,024 | INFO | response | RESPONSE | http://10.0.150.35:9091/api/v1/paysyslabs/titlefetch | status=200 | elapsed_ms=128 | body={"response": {"response_code": "068", "response_desc": "iban must not be null,memberid must not be null"}, "rrn": "185601330389", "stan": "345034"}
2026-06-01 14:27:10,052 | INFO | response | RESPONSE | http://10.0.150.35:9091/authenticate | status=200 | elapsed_ms=172 | body={"token": "eyJhbGciOiJIUzUxMiJ9.eyJzdWIiOiJkaWJ8dGVzdCIsImV4cCI6MTc4MDM5MjQyOSwiaWF0IjoxNzgwMzA2MDI5fQ.dXhbhzDYckqOBIF86nfTBbYK7MNzEFApoR6vC8YLoOnxxzpIxTGMZsXCA3PiVSToKI_7ebv_9S-WJ2xpRiqxNw", "expiry": "1780392429"}
2026-06-01 14:27:10,167 | INFO | response | RESPONSE | http://10.0.150.35:9091/api/v1/paysyslabs/titlefetch | status=200 | elapsed_ms=97 | body={"response": {"response_code": "068", "response_desc": "memberid must not be null"}, "rrn": "419798740229", "stan": "118792"}
2026-06-01 14:29:56,964 | INFO | response | RESPONSE | http://10.0.150.35:9091/authenticate | status=200 | elapsed_ms=150 | body={"token": "eyJhbGciOiJIUzUxMiJ9.eyJzdWIiOiJkaWJ8dGVzdCIsImV4cCI6MTc4MDM5MjU5NiwiaWF0IjoxNzgwMzA2MTk2fQ.AzGeVPcIV0Zc6RR_Sx-AkpL3VCIt6Z7OSXpfit0GOlskn4DiUZjONuU1feU0lqB0b1q31w5RzwQHrEUqfm5pRQ", "expiry": "1780392596"}
2026-06-01 14:30:02,278 | INFO | response | RESPONSE | http://10.0.150.35:9091/api/v1/paysyslabs/titlefetch | status=200 | elapsed_ms=5304 | body={"response": {"response_code": "101", "response_desc": "Invalid request"}, "rrn": "259129449896", "stan": "018984"}
2026-06-01 14:31:19,668 | INFO | response | RESPONSE | http://10.0.150.35:9091/authenticate | status=200 | elapsed_ms=205 | body={"token": "eyJhbGciOiJIUzUxMiJ9.eyJzdWIiOiJkaWJ8dGVzdCIsImV4cCI6MTc4MDM5MjY3OCwiaWF0IjoxNzgwMzA2Mjc4fQ.rsUORY_n-GpSEymsLi0E1tRbbr7jxvWL9gU_00X7Ijn540SnCX4MTNDbx6uORxdsLCJODv5iXtzznU-hlflCYw", "expiry": "1780392678"}
2026-06-01 14:31:25,045 | INFO | response | RESPONSE | http://10.0.150.35:9091/api/v1/paysyslabs/titlefetch | status=200 | elapsed_ms=5361 | body={"response": {"response_code": "101", "response_desc": "Invalid request"}, "rrn": "845721060578", "stan": "947242"}
2026-06-01 14:34:00,290 | INFO | response | RESPONSE | http://10.0.150.35:9091/authenticate | status=200 | elapsed_ms=159 | body={"token": "eyJhbGciOiJIUzUxMiJ9.eyJzdWIiOiJkaWJ8dGVzdCIsImV4cCI6MTc4MDM5MjgzOSwiaWF0IjoxNzgwMzA2NDM5fQ.031IbVkjx_Jpov_-aL27yW3dcCBC1lJBWFumDCb_l5Ze-19vbCis0bqbELAgzeL-_ddcLFhjJEJvSeZR1XQXig", "expiry": "1780392839"}
2026-06-01 14:34:05,558 | INFO | response | RESPONSE | http://10.0.150.35:9091/api/v1/paysyslabs/titlefetch | status=200 | elapsed_ms=5252 | body={"response": {"response_code": "101", "response_desc": "Invalid request"}, "rrn": "144034219368", "stan": "701093"}
2026-06-01 14:34:22,092 | INFO | response | RESPONSE | http://10.0.150.35:9091/authenticate | status=200 | elapsed_ms=128 | body={"token": "eyJhbGciOiJIUzUxMiJ9.eyJzdWIiOiJkaWJ8dGVzdCIsImV4cCI6MTc4MDM5Mjg2MSwiaWF0IjoxNzgwMzA2NDYxfQ.037IsCMO5FyMsbDyhVuWi1C2bG7rn_Xq7BvpOHRnimBFM4QZj2MLVD0cL4JPzg6qfSW8FytV7hLdveKupVns_w", "expiry": "1780392861"}
2026-06-01 14:34:27,355 | INFO | response | RESPONSE | http://10.0.150.35:9091/api/v1/paysyslabs/titlefetch | status=200 | elapsed_ms=5251 | body={"response": {"response_code": "101", "response_desc": "Invalid request"}, "rrn": "179935777419", "stan": "775401"}
2026-06-01 14:36:41,072 | INFO | response | RESPONSE | http://10.0.150.35:9091/authenticate | status=200 | elapsed_ms=143 | body={"token": "eyJhbGciOiJIUzUxMiJ9.eyJzdWIiOiJkaWJ8dGVzdCIsImV4cCI6MTc4MDM5MzAwMCwiaWF0IjoxNzgwMzA2NjAwfQ.TXeZxTsUwD3S0aTNLqHsT1ysojYA2JGj4xv3lkJLQMQXm8bVNudYSN0SQV4mxRvk4DwaCewuhTlfDxH4MtWUPA", "expiry": "1780393000"}
2026-06-01 14:36:46,313 | INFO | response | RESPONSE | http://10.0.150.35:9091/api/v1/paysyslabs/titlefetch | status=200 | elapsed_ms=5234 | body={"response": {"response_code": "101", "response_desc": "Invalid request"}, "rrn": "845023124683", "stan": "113629"}
2026-06-01 14:36:55,664 | INFO | response | RESPONSE | http://10.0.150.35:9091/api/v1/paysyslabs/directposting | status=200 | elapsed_ms=14582 | body={"response": {"response_code": "00", "response_desc": "SUCCESS"}, "stan": "942748", "correlationId": "cf807d3ba7914345804e2e4012f9ba29", "rrn": "251640021976"}
2026-06-01 14:38:00,772 | INFO | response | RESPONSE | http://10.0.150.35:9091/authenticate | status=200 | elapsed_ms=167 | body={"token": "eyJhbGciOiJIUzUxMiJ9.eyJzdWIiOiJkaWJ8dGVzdCIsImV4cCI6MTc4MDM5MzA4MCwiaWF0IjoxNzgwMzA2NjgwfQ.eH13eqCkCPQE59D-qPQmAxP3DFTtllRolLxm6zW3nXOQakGTmbWikltSpoHS01PpIlFwA4qbdsnfubGd8djs8Q", "expiry": "1780393080"}
2026-06-01 14:38:02,149 | INFO | response | RESPONSE | http://10.0.150.35:9091/api/v1/paysyslabs/directposting | status=200 | elapsed_ms=1361 | body={"response": {"response_code": "99", "response_desc": "Document was rejected by counterparty"}, "rrn": "262014270775", "stan": "548034"}
2026-06-01 14:38:06,051 | INFO | response | RESPONSE | http://10.0.150.35:9091/api/v1/paysyslabs/titlefetch | status=200 | elapsed_ms=5268 | body={"response": {"response_code": "101", "response_desc": "Invalid request"}, "rrn": "204932898962", "stan": "729502"}
2026-06-01 14:38:18,229 | INFO | response | RESPONSE | http://10.0.150.35:9091/api/v1/paysyslabs/directposting | status=200 | elapsed_ms=17447 | body={"response": {"response_code": "99", "response_desc": "Document was rejected by timeout"}, "rrn": "140124746111", "stan": "302907"}
2026-06-01 14:40:05,577 | INFO | response | RESPONSE | http://10.0.150.35:9091/authenticate | status=200 | elapsed_ms=159 | body={"token": "eyJhbGciOiJIUzUxMiJ9.eyJzdWIiOiJkaWJ8dGVzdCIsImV4cCI6MTc4MDM5MzIwNCwiaWF0IjoxNzgwMzA2ODA0fQ.nb_F4soF0WwZrkGbiuv4s_2NNbIgPYtBKB_RwyrNMqNtXd5f12C2LtPQJaBLbu8h7Ao5G_KmeDBOe4U7CThY2g", "expiry": "1780393204"}
2026-06-01 14:40:06,865 | INFO | response | RESPONSE | http://10.0.150.35:9091/api/v1/paysyslabs/directposting | status=200 | elapsed_ms=1276 | body={"response": {"response_code": "99", "response_desc": "Document was rejected by counterparty"}, "rrn": "269276678960", "stan": "581016"}
2026-06-01 14:40:10,843 | INFO | response | RESPONSE | http://10.0.150.35:9091/api/v1/paysyslabs/titlefetch | status=200 | elapsed_ms=5256 | body={"response": {"response_code": "101", "response_desc": "Invalid request"}, "rrn": "259189008421", "stan": "162543"}
2026-06-01 14:40:23,030 | INFO | response | RESPONSE | http://10.0.150.35:9091/api/v1/paysyslabs/directposting | status=200 | elapsed_ms=17444 | body={"response": {"response_code": "99", "response_desc": "Document was rejected by timeout"}, "rrn": "515385091623", "stan": "682767"}
2026-06-01 14:41:25,588 | INFO | response | RESPONSE | http://10.0.150.35:9091/authenticate | status=200 | elapsed_ms=158 | body={"token": "eyJhbGciOiJIUzUxMiJ9.eyJzdWIiOiJkaWJ8dGVzdCIsImV4cCI6MTc4MDM5MzI4NCwiaWF0IjoxNzgwMzA2ODg0fQ.3zkBzR13GDwaBYKvGu6F6AMHl6a1Oo4C-6aA5igSr-CGlchdjkCUbXmY_98MlNqEioghpePRqjyIA5xkvb8wZA", "expiry": "1780393284"}
2026-06-01 14:41:26,566 | INFO | response | RESPONSE | http://10.0.150.35:9091/api/v1/paysyslabs/directposting | status=200 | elapsed_ms=969 | body={"response": {"response_code": "99", "response_desc": "Document was rejected by counterparty"}, "rrn": "432418551350", "stan": "582314"}
2026-06-01 14:41:30,856 | INFO | response | RESPONSE | http://10.0.150.35:9091/api/v1/paysyslabs/titlefetch | status=200 | elapsed_ms=5258 | body={"response": {"response_code": "101", "response_desc": "Invalid request"}, "rrn": "133825532497", "stan": "415950"}
2026-06-01 14:41:36,995 | INFO | response | RESPONSE | http://10.0.150.35:9091/api/v1/paysyslabs/directposting | status=200 | elapsed_ms=11400 | body={"response": {"response_code": "00", "response_desc": "SUCCESS"}, "stan": "441595", "correlationId": "2cafd4c839724a49b4a18282735e6059", "rrn": "044071891506"}
2026-06-01 14:47:44,793 | INFO | response | RESPONSE | http://10.0.150.35:9091/authenticate | status=200 | elapsed_ms=161 | body={"token": "eyJhbGciOiJIUzUxMiJ9.eyJzdWIiOiJkaWJ8dGVzdCIsImV4cCI6MTc4MDM5MzY2NCwiaWF0IjoxNzgwMzA3MjY0fQ.z9ScE4sjziVnncStmeAsKQ8fKTVbRFiFYgcFT9JsPulfBgMdECsugVq6VTTgdotQ0m7792AM3kWthqgX_11Gmg", "expiry": "1780393664"}
2026-06-01 14:47:45,759 | INFO | response | RESPONSE | http://10.0.150.35:9091/api/v1/paysyslabs/directposting | status=200 | elapsed_ms=946 | body={"response": {"response_code": "99", "response_desc": "Document was rejected by counterparty"}, "rrn": "451680434142", "stan": "852704"}
2026-06-01 14:47:50,061 | INFO | response | RESPONSE | http://10.0.150.35:9091/api/v1/paysyslabs/titlefetch | status=200 | elapsed_ms=5247 | body={"response": {"response_code": "101", "response_desc": "Invalid request"}, "rrn": "014995678333", "stan": "609171"}
2026-06-01 14:48:02,185 | INFO | response | RESPONSE | http://10.0.150.35:9091/api/v1/paysyslabs/directposting | status=200 | elapsed_ms=17376 | body={"response": {"response_code": "99", "response_desc": "Document was rejected by timeout"}, "rrn": "419447614034", "stan": "326102"}
2026-06-01 18:25:38,094 | INFO | response | RESPONSE | http://10.0.150.35:9091/authenticate | status=200 | elapsed_ms=263 | body={"token": "eyJhbGciOiJIUzUxMiJ9.eyJzdWIiOiJkaWJ8dGVzdCIsImV4cCI6MTc4MDQwNjczNywiaWF0IjoxNzgwMzIwMzM3fQ.X_BMiAmiTNzgEFNJmvM2KDIAE-getsF-DGbx6OpGEsx71J8qqd0KD5Wzvj_5efDohhE2MUYe34HSB25brgSZzQ", "expiry": "1780406737"}
2026-06-01 18:25:39,312 | INFO | response | RESPONSE | http://10.0.150.35:9091/api/v1/paysyslabs/directposting | status=200 | elapsed_ms=1182 | body={"response": {"response_code": "99", "response_desc": "Document was rejected by counterparty"}, "rrn": "110591109003", "stan": "713139"}
2026-06-01 18:25:43,714 | INFO | response | RESPONSE | http://10.0.150.35:9091/api/v1/paysyslabs/titlefetch | status=200 | elapsed_ms=5581 | body={"response": {"response_code": "101", "response_desc": "Invalid request"}, "rrn": "732378930861", "stan": "833524"}
2026-06-01 18:25:55,588 | INFO | response | RESPONSE | http://10.0.150.35:9091/api/v1/paysyslabs/directposting | status=200 | elapsed_ms=17460 | body={"response": {"response_code": "99", "response_desc": "Document was rejected by timeout"}, "rrn": "671124471739", "stan": "871650"}
2026-06-02 15:44:28,964 | INFO | response | RESPONSE | http://10.0.150.35:9091/api/v1/paysyslabs/titlefetch | status=403 | elapsed_ms=24 | body={"raw": ""}
2026-06-02 15:44:28,965 | INFO | response | RESPONSE | http://10.0.150.35:9091/api/v1/paysyslabs/directposting | status=403 | elapsed_ms=21 | body={"raw": ""}
2026-06-02 15:44:28,965 | INFO | response | RESPONSE | http://10.0.150.35:9091/api/v1/paysyslabs/directposting | status=403 | elapsed_ms=24 | body={"raw": ""}
2026-06-02 15:44:39,772 | INFO | response | RESPONSE | http://10.0.150.35:9091/authenticate | status=200 | elapsed_ms=152 | body={"token": "eyJhbGciOiJIUzUxMiJ9.eyJzdWIiOiJkaWJ8dGVzdCIsImV4cCI6MTc4MDQ4MzQ3OSwiaWF0IjoxNzgwMzk3MDc5fQ.NHBR3HRLZQxwdE8dSTIKv7Ktx_u_gk_Huq1mpbMPLute9ocYFpG4QKjwfmPrismk_-4uIYKcEoag0rrQb4__PA", "expiry": "1780483479"}
2026-06-02 15:44:42,128 | INFO | response | RESPONSE | http://10.0.150.35:9091/api/v1/paysyslabs/directposting | status=200 | elapsed_ms=2337 | body={"response": {"response_code": "99", "response_desc": "Document was rejected by counterparty"}, "rrn": "069966420898", "stan": "531047"}
2026-06-02 15:44:45,137 | INFO | response | RESPONSE | http://10.0.150.35:9091/api/v1/paysyslabs/titlefetch | status=200 | elapsed_ms=5341 | body={"response": {"response_code": "101", "response_desc": "Invalid request"}, "rrn": "359362627880", "stan": "154108"}
2026-06-02 15:44:57,213 | INFO | response | RESPONSE | http://10.0.150.35:9091/api/v1/paysyslabs/directposting | status=200 | elapsed_ms=17424 | body={"response": {"response_code": "99", "response_desc": "Document was rejected by timeout"}, "rrn": "239992980132", "stan": "971377"}
2026-06-02 15:47:27,671 | INFO | response | RESPONSE | http://10.0.150.35:9091/authenticate | status=200 | elapsed_ms=160 | body={"token": "eyJhbGciOiJIUzUxMiJ9.eyJzdWIiOiJkaWJ8dGVzdCIsImV4cCI6MTc4MDQ4MzY0NywiaWF0IjoxNzgwMzk3MjQ3fQ.unzu6Xj4annKnuB2e8LKoKtHflXM994D92Exa974gTj5Q2nkJqja4eyCyrjI5zu6FyV3TU4usKJWvGwRp6B_dQ", "expiry": "1780483647"}
2026-06-02 15:47:28,835 | INFO | response | RESPONSE | http://10.0.150.35:9091/api/v1/paysyslabs/directposting | status=200 | elapsed_ms=1158 | body={"response": {"response_code": "99", "response_desc": "Document was rejected by counterparty"}, "rrn": "790667458192", "stan": "052855"}
2026-06-02 15:47:29,155 | INFO | response | RESPONSE | http://10.0.150.35:9091/api/v1/paysyslabs/directposting | status=200 | elapsed_ms=1473 | body={"response": {"response_code": "99", "response_desc": "Document was rejected by counterparty"}, "rrn": "359949874345", "stan": "708725"}
2026-06-02 15:47:29,300 | INFO | response | RESPONSE | http://10.0.150.35:9091/api/v1/paysyslabs/directposting | status=200 | elapsed_ms=1620 | body={"response": {"response_code": "00", "response_desc": "SUCCESS"}, "stan": "713341", "correlationId": "ac724e6f1908411ebfd75cee4ed99024", "rrn": "879496843085"}
2026-06-02 15:47:32,957 | INFO | response | RESPONSE | http://10.0.150.35:9091/api/v1/paysyslabs/titlefetch | status=200 | elapsed_ms=5278 | body={"response": {"response_code": "101", "response_desc": "Invalid request"}, "rrn": "579674378862", "stan": "039105"}
2026-06-03 10:39:21,034 | INFO | response | RESPONSE | http://10.0.150.35:9091/authenticate | status=200 | elapsed_ms=223 | body={"token": "eyJhbGciOiJIUzUxMiJ9.eyJzdWIiOiJkaWJ8dGVzdCIsImV4cCI6MTc4MDU1MTU2MSwiaWF0IjoxNzgwNDY1MTYxfQ.E9W4PWpFMemAit2VXdcdb0MXgs09GeSBsy68WH-9TjHpcatqWHy-xrNjP08ajfMApm7I3QsPfTwGk-XLlEYg9A", "expiry": "1780551561"}
2026-06-03 10:39:26,565 | INFO | response | RESPONSE | http://10.0.150.35:9091/api/v1/paysyslabs/titlefetch | status=200 | elapsed_ms=5500 | body={"response": {"response_code": "101", "response_desc": "Invalid request"}, "rrn": "158124622604", "stan": "691312"}
2026-06-03 10:39:51,122 | INFO | response | RESPONSE | http://10.0.150.35:9091/api/v1/paysyslabs/directposting | status=200 | elapsed_ms=30061 | body={"response": {"response_code": "068", "response_desc": "Duplicate Transaction"}, "rrn": "519281672297", "stan": "355103"}
2026-06-03 10:39:51,136 | INFO | response | RESPONSE | http://10.0.150.35:9091/api/v1/paysyslabs/directposting | status=200 | elapsed_ms=30066 | body={"response": {"response_code": "068", "response_desc": "Duplicate Transaction"}, "rrn": "593515421474", "stan": "153622"}
2026-06-03 10:39:51,150 | INFO | response | RESPONSE | http://10.0.150.35:9091/api/v1/paysyslabs/directposting | status=200 | elapsed_ms=30086 | body={"response": {"response_code": "068", "response_desc": "Duplicate Transaction"}, "rrn": "721513198166", "stan": "313295"}
2026-06-03 10:44:17,695 | INFO | response | RESPONSE | http://10.0.150.35:9091/authenticate | status=200 | elapsed_ms=191 | body={"token": "eyJhbGciOiJIUzUxMiJ9.eyJzdWIiOiJkaWJ8dGVzdCIsImV4cCI6MTc4MDU1MTg1OCwiaWF0IjoxNzgwNDY1NDU4fQ.ybiRts3cG4zts7lBHo2gLmoxs-0hlZDmFW3-0TZkAj5CKFrTGzjwnSQH15PMVwnFU4a0qur6JE0Hlkcg89Ygqw", "expiry": "1780551858"}
2026-06-03 10:44:19,530 | INFO | response | RESPONSE | http://10.0.150.35:9091/api/v1/paysyslabs/directposting | status=200 | elapsed_ms=1809 | body={"response": {"response_code": "99", "response_desc": "Document was rejected by counterparty"}, "rrn": "678535427209", "stan": "373804"}
2026-06-03 10:44:19,545 | INFO | response | RESPONSE | http://10.0.150.35:9091/api/v1/paysyslabs/directposting | status=200 | elapsed_ms=1830 | body={"response": {"response_code": "99", "response_desc": "Document was rejected by counterparty"}, "rrn": "224252712348", "stan": "348315"}
2026-06-03 10:44:19,592 | INFO | response | RESPONSE | http://10.0.150.35:9091/api/v1/paysyslabs/directposting | status=200 | elapsed_ms=1880 | body={"response": {"response_code": "99", "response_desc": "Document was rejected by counterparty"}, "rrn": "627174657928", "stan": "645295"}
2026-06-03 10:44:23,013 | INFO | response | RESPONSE | http://10.0.150.35:9091/api/v1/paysyslabs/titlefetch | status=200 | elapsed_ms=5291 | body={"response": {"response_code": "101", "response_desc": "Invalid request"}, "rrn": "534865530267", "stan": "148487"}
2026-06-03 13:00:20,091 | INFO | response | RESPONSE | http://10.0.150.35:9091/authenticate | status=200 | elapsed_ms=219 | body={"token": "eyJhbGciOiJIUzUxMiJ9.eyJzdWIiOiJkaWJ8dGVzdCIsImV4cCI6MTc4MDU2MDAyMCwiaWF0IjoxNzgwNDczNjIwfQ.OwMTLy1a6GIB7PD_CO82phlvuzFs7-5DrgKtwbglNYOfQuRcTNIpBLSTP02_2OqHZzWG8UJvtMOSoIH6D92D1Q", "expiry": "1780560020"}
2026-06-03 13:00:21,142 | INFO | response | RESPONSE | http://10.0.150.35:9091/api/v1/paysyslabs/directposting | status=200 | elapsed_ms=1031 | body={"response": {"response_code": "99", "response_desc": "Document was rejected by counterparty"}, "rrn": "961585124720", "stan": "791148"}
2026-06-03 13:00:21,755 | INFO | response | RESPONSE | http://10.0.150.35:9091/api/v1/paysyslabs/directposting | status=200 | elapsed_ms=1646 | body={"response": {"response_code": "00", "response_desc": "SUCCESS"}, "stan": "463008", "correlationId": "66910d65870b40caa2e8aec2c21bb984", "rrn": "282594921076"}
2026-06-03 13:00:21,767 | INFO | response | RESPONSE | http://10.0.150.35:9091/api/v1/paysyslabs/directposting | status=200 | elapsed_ms=1650 | body={"response": {"response_code": "00", "response_desc": "SUCCESS"}, "stan": "570202", "correlationId": "4ae1917e00364f208e4b22c343d79d1f", "rrn": "015259161214"}
2026-06-03 13:00:25,552 | INFO | response | RESPONSE | http://10.0.150.35:9091/api/v1/paysyslabs/titlefetch | status=200 | elapsed_ms=5433 | body={"response": {"response_code": "101", "response_desc": "Invalid request"}, "rrn": "958965264425", "stan": "416867"}
2026-06-03 13:14:30,618 | INFO | response | RESPONSE | http://10.0.150.35:9091/authenticate | status=200 | elapsed_ms=253 | body={"token": "eyJhbGciOiJIUzUxMiJ9.eyJzdWIiOiJkaWJ8dGVzdCIsImV4cCI6MTc4MDU2MDg3MCwiaWF0IjoxNzgwNDc0NDcwfQ.fHzxH6mk5F2dGSchu7vaghPRDSq8ueyina20JNHW2u-hGXtFV_m9LDONTwdBf4oaIMqPGoKYegEgNbwadzBcqg", "expiry": "1780560870"}
2026-06-03 13:14:31,630 | INFO | response | RESPONSE | http://10.0.150.35:9091/api/v1/paysyslabs/directposting | status=200 | elapsed_ms=994 | body={"response": {"response_code": "99", "response_desc": "Document was rejected by counterparty"}, "rrn": "371452319295", "stan": "220145"}
2026-06-03 13:14:31,681 | INFO | response | RESPONSE | http://10.0.150.35:9091/api/v1/paysyslabs/directposting | status=200 | elapsed_ms=1047 | body={"response": {"response_code": "00", "response_desc": "SUCCESS"}, "stan": "635936", "correlationId": "564ddd5cc47b4ee194d377b42c0be63d", "rrn": "925970476552"}
2026-06-03 13:14:35,933 | INFO | response | RESPONSE | http://10.0.150.35:9091/api/v1/paysyslabs/titlefetch | status=200 | elapsed_ms=5293 | body={"response": {"response_code": "101", "response_desc": "Invalid request"}, "rrn": "517816159291", "stan": "316013"}
2026-06-03 13:14:48,711 | INFO | response | RESPONSE | http://10.0.150.35:9091/api/v1/paysyslabs/directposting | status=200 | elapsed_ms=18060 | body={"response": {"response_code": "99", "response_desc": "Document was rejected by timeout"}, "rrn": "935247047184", "stan": "768220"}
2026-06-03 13:15:30,514 | INFO | response | RESPONSE | http://10.0.150.35:9091/authenticate | status=200 | elapsed_ms=125 | body={"token": "eyJhbGciOiJIUzUxMiJ9.eyJzdWIiOiJkaWJ8dGVzdCIsImV4cCI6MTc4MDU2MDkzMSwiaWF0IjoxNzgwNDc0NTMxfQ.-L2eElXcWyqAQbu0BJIW3GvM76dmE5g78Oxe7CLQ9tHHOhYAo4MYrEUkyBSpVfl2jj_R-sVOg_ue8nAUTP0ChA", "expiry": "1780560931"}
2026-06-03 13:15:31,369 | INFO | response | RESPONSE | http://10.0.150.35:9091/api/v1/paysyslabs/directposting | status=200 | elapsed_ms=832 | body={"response": {"response_code": "99", "response_desc": "Document was rejected by counterparty"}, "rrn": "785158249168", "stan": "640539"}
2026-06-03 13:15:31,455 | INFO | response | RESPONSE | http://10.0.150.35:9091/api/v1/paysyslabs/directposting | status=200 | elapsed_ms=922 | body={"response": {"response_code": "00", "response_desc": "SUCCESS"}, "stan": "682327", "correlationId": "674bb0257ea4436d8a0b1f068e5a1046", "rrn": "246723375304"}
2026-06-03 13:15:32,338 | INFO | response | RESPONSE | http://10.0.150.35:9091/api/v1/paysyslabs/titlefetchibcon | status=200 | elapsed_ms=961 | body={"response": {"account-information": {"iban": "PK94CRSM0000003265703141", "acctitle": "Faiz Ula Amin Khan", "acctype": "Account"}, "response_code": "00", "response_desc": "SUCCESS", "fee": 0, "stan": "266148", "rrn": "749068294656"}}
2026-06-03 13:15:35,797 | INFO | response | RESPONSE | http://10.0.150.35:9091/api/v1/paysyslabs/titlefetch | status=200 | elapsed_ms=5253 | body={"response": {"response_code": "101", "response_desc": "Invalid request"}, "rrn": "224328843212", "stan": "753331"}
2026-06-03 13:15:48,015 | INFO | response | RESPONSE | http://10.0.150.35:9091/api/v1/paysyslabs/directposting | status=200 | elapsed_ms=17470 | body={"response": {"response_code": "99", "response_desc": "Document was rejected by timeout"}, "rrn": "277788221709", "stan": "536353"}
2026-06-03 13:23:18,383 | INFO | response | RESPONSE | http://10.0.150.35:9091/authenticate | status=200 | elapsed_ms=217 | body={"token": "eyJhbGciOiJIUzUxMiJ9.eyJzdWIiOiJkaWJ8dGVzdCIsImV4cCI6MTc4MDU2MTM5OCwiaWF0IjoxNzgwNDc0OTk4fQ.212nKSEnwEuOA7Ydp8LGpDM4XyeoX_r4GHOQeRcMYO6t6HfVTJNfGHYoKaH4POM_5PLUoq-AXkSkKB3hKvmbDw", "expiry": "1780561398"}
